feature,importance
coordinates.deptcode_19,1.8790683255970594e-07
coordinates.deptcode_53,2.4147405948878944e-09
coordinates.deptcode_82,6.757803023437285e-10
coordinates.deptcode_4,0.0
coordinates.deptcode_2A,0.0
legal_status_Unknown,0.0
coordinates.deptcode_52,0.0
coordinates.deptcode_70,0.0
coordinates.deptcode_9,0.0
coordinates.deptcode_90,0.0
coordinates.deptcode_973,0.0
